video_block,time,salient_variable,video_path,start_time_s,end_time_s
Frank Play,0:37,"face, hands, stool, piano",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_play_stripped.mp4,37.0,40.0
Frank Play,0:40,"umbrella, face, hands, poncho",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_play_stripped.mp4,40.0,45.0
Frank Play,0:45,"face, hands, paper",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_play_stripped.mp4,45.0,48.0
Frank Play,0:48,"face, hands, cymbals",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_play_stripped.mp4,48.0,55.0
Frank Play,0:55,"face, hands, bubblewand",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_play_stripped.mp4,55.0,58.0
Frank Play,0:58,"Face, hand, pinwheel",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_play_stripped.mp4,58.0,60.92
Sesame India 1,0:00,"Pen, paper",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_1_stripped.mp4,0.0,1.0
Sesame India 1,0:01,"Face (muppet), pen",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_1_stripped.mp4,1.0,4.0
Sesame India 1,0:04,"face (muppet), face (child), pen",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_1_stripped.mp4,4.0,9.0
Sesame India 1,0:09,face (muppet),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_1_stripped.mp4,9.0,13.0
Sesame India 1,0:13,face (child),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_1_stripped.mp4,13.0,14.0
Sesame India 1,0:14,"face (child), face (muppet)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_1_stripped.mp4,14.0,18.0
Sesame India 1,0:18,face (child),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_1_stripped.mp4,18.0,24.0
Sesame India 1,0:24,"face (person), face (muppet)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_1_stripped.mp4,24.0,28.0
