prompt_idx,row_idx,video_block,time,video_path,start_time_s,end_time_s,annotation_raw,prompt,include_coord,exclude_coord
131,58,Frank Complex,0:25,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,25.0,30.0,faces,faces,,
132,58,Frank Complex,0:25,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,25.0,30.0,hands,hands,,
133,58,Frank Complex,0:25,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,25.0,30.0,balls,balls,,
134,59,Frank Complex,0:30,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,30.0,35.0,Faces,Faces,,
135,59,Frank Complex,0:30,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,30.0,35.0,hands,hands,,
136,59,Frank Complex,0:30,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,30.0,35.0,sift,sift,,
137,60,Frank Complex,0:35,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,35.0,40.0,faces,faces,,
138,60,Frank Complex,0:35,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,35.0,40.0,hands,hands,,
139,60,Frank Complex,0:35,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,35.0,40.0,glass,glass,,
140,61,Frank Complex,0:40,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,40.0,44.0,faces,faces,,
141,61,Frank Complex,0:40,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,40.0,44.0,hands,hands,,
142,61,Frank Complex,0:40,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,40.0,44.0,feet,feet,,
143,62,Frank Complex,0:44,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,44.0,46.0,faces,faces,,
144,62,Frank Complex,0:44,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,44.0,46.0,hands,hands,,
145,62,Frank Complex,0:44,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,44.0,46.0,cake,cake,,
146,62,Frank Complex,0:44,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,44.0,46.0,fruit bowl,fruit bowl,,
147,63,Frank Complex,0:46,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,46.0,50.0,face,face,,
148,63,Frank Complex,0:46,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,46.0,50.0,hands,hands,,
149,63,Frank Complex,0:46,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,46.0,50.0,piano,piano,,
150,64,Frank Complex,0:50,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,50.0,55.0,faces,faces,,
151,64,Frank Complex,0:50,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,50.0,55.0,hands,hands,,
152,64,Frank Complex,0:50,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,50.0,55.0,teacup,teacup,,
153,65,Frank Complex,0:55,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,55.0,60.32,faces,faces,,
154,65,Frank Complex,0:55,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,55.0,60.32,hands,hands,,
155,65,Frank Complex,0:55,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,55.0,60.32,bowl,bowl,,
156,66,Frank Objects,0:00,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_objects_stripped.mp4,0.0,5.0,windmill with balls,windmill with balls,,
157,67,Frank Objects,0:05,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_objects_stripped.mp4,5.0,14.0,Rotating planetarium,Rotating planetarium,,
158,68,Frank Objects,0:14,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_objects_stripped.mp4,14.0,20.0,Windmill with dolphins,Windmill with dolphins,,
159,69,Frank Objects,0:20,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_objects_stripped.mp4,20.0,25.0,Marble,Marble,,
160,70,Frank Objects,0:25,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_objects_stripped.mp4,25.0,28.0,balls,balls,,
161,71,Frank Objects,0:28,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_objects_stripped.mp4,28.0,36.0,Lava lamp,Lava lamp,,
162,72,Frank Objects,0:36,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_objects_stripped.mp4,36.0,40.0,spinning wheel,spinning wheel,,
163,73,Frank Objects,0:40,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_objects_stripped.mp4,40.0,45.0,Pinwheel,Pinwheel,,
164,74,Frank Objects,0:45,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_objects_stripped.mp4,45.0,54.0,Marbles,Marbles,,
165,75,Frank Objects,0:54,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_objects_stripped.mp4,54.0,60.12,balls,balls,,
166,75,Frank Objects,0:54,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_objects_stripped.mp4,54.0,60.12,bell,bell,,
