system_time_stamp,time,left_x,left_y,left_valid,left_pupil,left_pupil_valid,right_x,right_y,right_valid,right_pupil,right_pupil_valid,gaze_x,gaze_y,pupil_size,events
438017518009,35.0,1067.3197,455.1208,1,3.1406,1,944.1466,335.3168,1,3.0853,1,1005.7332,395.2188,3.113,
438017522009,39.0,1046.451,466.6617,1,3.1228,1,918.3861,350.4561,1,3.0981,1,982.4185,408.5589,3.1104,
438017526009,43.0,1058.6676,445.609,1,3.1813,1,936.7109,357.9947,1,3.0234,1,997.6893,401.8019,3.1023,
438017530011,47.0,1056.3691,466.7043,1,3.1503,1,921.3856,342.9629,1,3.1235,1,988.8774,404.8336,3.1369,
438017534016,51.0,1057.9096,464.8628,1,3.1315,1,926.003,332.5568,1,3.0705,1,991.9563,398.7098,3.101,
438017538016,55.0,1075.6535,440.8316,1,3.1663,1,951.9805,355.7346,1,3.0598,1,1013.817,398.2831,3.1131,
438017542016,59.0,1063.5673,467.5472,1,3.096,1,943.3205,322.9186,1,3.0968,1,1003.4439,395.2329,3.0964,
438017546016,63.0,1077.3461,460.3039,1,3.1617,1,939.2464,352.9514,1,3.0591,1,1008.2962,406.6276,3.1104,
438017550016,67.0,1054.0545,453.3802,1,3.1119,1,934.5614,342.4783,1,3.0793,1,994.308,397.9292,3.0956,
438017554015,71.0,1068.3609,467.9007,1,3.1315,1,944.989,348.9261,1,3.0738,1,1006.6749,408.4134,3.1026,
438017558015,75.0,1069.0104,459.5715,1,3.1463,1,930.9012,330.4384,1,3.0873,1,999.9558,395.005,3.1168,
438017562015,79.0,1067.5892,447.7092,1,3.1226,1,935.3453,322.2517,1,3.1297,1,1001.4673,384.9804,3.1262,
438017566015,83.0,1064.7382,460.2812,1,3.1502,1,933.023,343.1064,1,3.0682,1,998.8806,401.6938,3.1092,
438017570015,87.0,1055.9744,475.814,1,3.1062,1,943.3935,329.6299,1,3.1389,1,999.684,402.722,3.1225,
438017574015,91.0,1061.9395,470.4861,1,3.0739,1,923.4662,331.4704,1,3.1078,1,992.7029,400.9782,3.0909,
438017578015,95.0,1044.5359,457.6144,1,3.1413,1,933.9841,325.676,1,3.0787,1,989.26,391.6452,3.11,
438017582015,99.0,1098.5019,474.303,1,3.0911,1,927.2384,335.6826,1,3.0819,1,1012.8702,404.9928,3.0865,
438017586015,103.0,1057.41,458.8655,1,3.1488,1,925.7935,321.4221,1,3.0905,1,991.6018,390.1438,3.1197,
438017590015,107.0,1063.9682,458.6425,1,3.151,1,948.4205,341.7303,1,3.1026,1,1006.1944,400.1864,3.1268,
438017594015,111.0,1077.9029,446.9368,1,3.1682,1,944.5108,344.0317,1,3.0489,1,1011.2068,395.4842,3.1086,
438017598015,115.0,1057.344,457.9352,1,3.1224,1,929.3619,321.4811,1,3.1018,1,993.3529,389.7081,3.1121,
438017602015,119.0,1064.3629,455.8132,1,3.1438,1,933.7202,333.5649,1,3.1129,1,999.0415,394.6891,3.1283,
438017606015,123.0,1067.5231,457.3278,1,3.102,1,959.8586,344.9061,1,3.0668,1,1013.6908,401.117,3.0844,
