participant_id,trial_index,trial_name,block_id,block_index,n_samples,trial_duration_sec,valid_duration_sec,left_n_valid,left_percent_valid,right_n_valid,right_percent_valid,mean_percent_valid,val_left_deg,val_right_deg,val_mean_deg,val_left_px,val_right_px,val_mean_px
HMET016,8,slow_inanimate,slow,2,14916,59.65,18.39,4910,32.92,4283,28.71,30.82,,,,,,
HMET016,9,slow_hands,slow,2,14920,59.66,24.18,5722,38.35,6367,42.67,40.51,,,,,,
HMET016,10,slow_people,slow,2,5406,21.61,0.0,0,0.0,0,0.0,0.0,,,,,,
HMET016,11,pixar_birds,pixar,3,28535,114.13,71.07,15104,52.93,20432,71.6,62.27,4.1897,3.0621,3.6259,12.6432,9.2406,10.9419
MWK011,0,slow_hands,slow,0,14921,59.67,43.69,11250,75.4,10597,71.02,73.21,0.9231,0.9608,0.942,2.7857,2.8995,2.8426
MWK011,1,slow_people,slow,0,14925,59.69,35.43,6420,43.02,11294,75.67,59.34,0.9231,0.9608,0.942,2.7857,2.8995,2.8426
MWK011,2,slow_inanimate,slow,0,14920,59.67,12.56,2715,18.2,3564,23.89,21.04,0.9231,0.9608,0.942,2.7857,2.8995,2.8426
MWK011,3,slow_animals,slow,0,14921,59.65,36.42,9652,64.69,8558,57.36,61.02,0.9231,0.9608,0.942,2.7857,2.8995,2.8426
MWK011,4,frank_complex,frank,1,14916,59.65,34.62,8833,59.22,8475,56.82,58.02,1.6823,1.2858,1.484,5.0768,3.8802,4.4785
MWK011,5,frank_objects,frank,1,14918,59.66,34.31,8762,58.73,8395,56.27,57.5,1.6823,1.2858,1.484,5.0768,3.8802,4.4785
MWK011,6,frank_play,frank,1,14920,59.67,53.53,13466,90.25,13300,89.14,89.7,1.6823,1.2858,1.484,5.0768,3.8802,4.4785
MWK011,7,sesameus_2,sesame,2,14919,59.66,52.77,13132,88.02,13253,88.83,88.43,2.1651,1.8376,2.0013,6.5335,5.5454,6.0395
MWK011,8,sesameindia_2,sesame,2,14923,59.68,44.61,12792,85.72,9514,63.75,74.74,2.1651,1.8376,2.0013,6.5335,5.5454,6.0395
MWK011,9,sesameindia_1,sesame,2,14923,59.68,29.92,8703,58.32,6258,41.94,50.13,2.1651,1.8376,2.0013,6.5335,5.5454,6.0395
MWK011,10,sesameus_1,sesame,2,14923,59.68,50.53,12986,87.02,12280,82.29,84.65,2.1651,1.8376,2.0013,6.5335,5.5454,6.0395
MWK011,11,pixar_birds,pixar,3,37422,149.67,138.69,34652,92.6,34691,92.7,92.65,21.9957,21.9538,21.9748,66.3765,66.2499,66.3132
MWK012,0,sesameindia_2,sesame,0,14922,59.67,58.38,14690,98.45,14499,97.17,97.81,0.8263,0.9465,0.8864,2.4936,2.8561,2.6749
MWK012,1,sesameus_1,sesame,0,14923,59.68,58.45,14638,98.09,14589,97.76,97.93,0.8263,0.9465,0.8864,2.4936,2.8561,2.6749
